CardType,Name,Level,Attack,Defense
MonsterCard,Dark Magician,7,2500,2100
MonsterCard,Summoned Skull,6,2500,1200
MonsterCard,Beaver Warrior,4,1200,1500
MonsterCard,Gaia the Fierce Knight,7,2300,2100
MonsterCard,Celtic Guardian,4,1400,1200
MonsterCard,Curse of Dragon,5,2000,1500
MonsterCard,Giant Soldier of Stone,3,1300,2000
MonsterCard,Mystical Elf,4,800,2000
MonsterCard,Feral Imp,4,1300,1400
MonsterCard,Great White,4,1600,800
MonsterCard,Mammoth Graveyard,3,1200,800
MonsterCard,Silver Fang,3,1200,800
MonsterCard,Dragon Zombie,3,1600,0
MonsterCard,Doma the Angel of Silence,5,1600,1400
MonsterCard,Ansatsu,5,1700,1200
MonsterCard,Witty Phantom,4,1400,1300
MonsterCard,Claw Reacher,3,1000,800
MonsterCard,Ancient Elf,4,1450,1200
MonsterCard,Magical Ghost,4,1300,1400
SpellCard,Dark Hole,Destroy all monsters
